,Id,LotFrontage,LotArea,LotShape,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SalePrice,Age_Category,MSZoning_FV,MSZoning_RL,MSZoning_RM,BldgType_1Fam,HouseStyle_2Story,Exterior1st_BrkFace,Exterior1st_Wd Sdng,Exterior2nd_Wd Sdng,MasVnrType_None,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,GarageType_Modified_Attchd,GarageType_Modified_Detchd,bathrooms_final,Garage_final,total_house_area,qual*total_house_area,semi_built_area,BsmtUnitsGrade,BsmtGrade,elec_inf,rooms_to_size,land_score
19,20,70.0,7560.0,4.0,145847.08,5,6.0,1958.0,1965,0.0,3.0,0.0,1,504.0,525.0,1029.0,3,1,1339.0,0,1339.0,1,0,4.0,3,6,0.0,0,1958.0,1,1.0,294.0,1,0,0,5,2009,139000,2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.25,294.0,2368.0,11840.0,0.0,504,9261,8,334.75,10.54006438160768
20,21,101.0,14215.0,3.0,289724.71499999997,8,5.0,2005.0,2006,380.0,5.0,2.0,0,0.0,1158.0,1158.0,5,1,1158.0,1218,2376.0,3,1,5.0,4,9,1.0,4,2005.0,2,3.0,853.0,1,240,154,11,2006,325300,2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.25,5118.0,3534.0,28272.0,394.0,0,28950,10,475.2,11.353812493313155
21,22,57.0,7449.0,4.0,100123.78,7,7.0,1930.0,1950,0.0,3.0,0.0,0,0.0,637.0,637.0,5,1,1108.0,0,1108.0,1,0,4.0,4,6,1.0,4,1930.0,1,1.0,280.0,0,0,0,6,2007,139400,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.25,280.0,1745.0,12215.0,0.0,0,5733,8,277.0,10.707594543404332
22,23,75.0,9742.0,4.0,197965.77,8,5.0,2002.0,2002,281.0,4.0,0.0,0,0.0,1686.125,1777.0,5,1,1795.0,0,1795.0,2,0,4.0,4,7,1.0,4,2002.0,2,2.0,534.0,1,171,159,9,2008,230000,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2136.0,3572.0,28576.0,330.0,0,28432,10,448.75,10.793639626800589
23,24,44.0,4224.0,4.0,98576.47,5,7.0,1976.0,1976,0.0,4.0,0.0,5,840.0,200.0,1040.0,3,1,1060.0,0,1060.0,1,0,4.0,3,6,1.0,3,1976.0,1,2.0,572.0,1,100,110,6,2007,129900,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1144.0,2100.0,10500.0,210.0,4200,16640,8,265.0,9.957975737820197
24,25,71.0,8246.0,3.0,136793.14,5,7.5,1968.0,2001,0.0,3.0,1.0,2,188.0,204.0,1060.0,5,1,1060.0,0,1060.0,1,0,4.0,4,6,1.0,3,1968.0,1,1.0,270.0,1,406,90,5,2010,154000,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,270.0,2120.0,10600.0,496.0,3048,9540,10,265.0,10.8092429824949
25,26,110.0,14230.0,4.0,289724.71499999997,8,5.0,2007.0,2007,394.375,4.0,0.0,0,0.0,1566.0,1566.0,5,1,1600.0,0,1600.0,2,0,4.0,4,7,1.0,4,2007.0,2,3.0,890.0,1,0,56,7,2009,256300,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,5340.0,3166.0,25328.0,56.0,0,25056,10,400.0,11.172545603517998
26,27,60.0,7200.0,4.0,145847.08,5,7.0,1951.0,2000,0.0,3.0,1.0,3,234.0,180.0,900.0,3,1,900.0,0,900.0,1,0,4.0,4,5,0.0,0,2005.0,1,2.0,576.0,1,222,32,5,2010,134800,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.5,1152.0,1800.0,9000.0,254.0,1674,8100,8,225.0,10.491274217438248
27,28,98.0,11478.0,4.0,289724.71499999997,8,5.0,2007.0,2008,200.0,5.0,0.0,5,1218.0,486.0,1704.0,5,1,1704.0,0,1704.0,2,0,4.0,4,7,1.0,4,2008.0,2,3.0,772.0,1,0,50,5,2010,306000,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,4632.0,3408.0,27264.0,50.0,6090,36026,10,426.0,10.957625351102408
28,29,47.0,16321.0,3.0,145847.08,5,6.0,1957.0,1997,0.0,3.0,2.5,3,1277.0,207.0,1484.0,3,1,1600.0,0,1600.0,1,0,3.0,3,6,2.0,4,1957.0,2,1.0,319.0,1,288,165,12,2006,207500,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,638.0,3084.0,15420.0,546.0,3831,13356,8,533.3333333333334,11.49196737037875
29,30,60.0,6324.0,3.0,124834.05,4,6.0,1927.0,1950,0.0,3.0,0.0,0,0.0,520.0,520.0,2,0,520.0,0,520.0,1,0,2.0,2,4,0.0,0,1920.0,1,1.0,240.0,1,49,0,5,2008,68500,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.25,240.0,1040.0,4160.0,49.0,0,4680,6,260.0,10.543866667557417
30,31,50.0,8500.0,4.0,100123.78,4,4.0,1920.0,1950,0.0,3.0,0.0,0,0.0,649.0,649.0,3,0,649.0,668,1317.0,1,0,4.0,3,6,0.0,0,1920.0,1,1.0,250.0,0,0,54,7,2008,40000,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.25,250.0,1966.0,7864.0,54.0,0,5841,7,329.25,10.657259354912508
31,32,71.0,8544.0,3.0,136793.14,5,6.0,1966.0,2006,0.0,3.0,0.0,0,0.0,1228.0,1228.0,4,1,1228.0,0,1228.0,1,1,4.0,4,6,0.0,0,1966.0,1,1.0,271.0,1,0,65,6,2008,149350,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.5,271.0,2456.0,12280.0,65.0,0,11052,9,307.0,10.84474403042803
32,33,85.0,11049.0,4.0,197965.77,8,5.0,2007.0,2007,0.0,5.0,2.0,0,0.0,1234.0,1234.0,5,1,1234.0,0,1234.0,2,0,4.0,4,7,0.0,0,2007.0,2,2.0,484.0,1,0,30,1,2008,179900,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1936.0,2468.0,19744.0,30.0,0,30850,10,308.5,10.919533117547275
33,34,70.0,10552.0,3.0,145847.08,5,5.0,1959.0,1959,0.0,3.0,0.0,2,1018.0,380.0,1398.0,4,1,1700.0,0,1700.0,1,1,5.0,4,6,1.0,4,1959.0,2,2.0,447.0,1,0,38,4,2010,165500,2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1788.0,3098.0,15490.0,38.0,2036,12582,9,340.0,11.055830163625206
34,35,60.0,7313.0,4.0,289724.71499999997,9,5.0,2005.0,2005,246.0,5.0,0.0,5,1153.0,408.0,1561.0,5,1,1561.0,0,1561.0,2,0,3.0,5,6,1.0,4,2005.0,3,2.0,556.0,1,203,47,8,2007,277500,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3336.0,3122.0,28098.0,250.0,5765,36026,10,520.3333333333334,10.506846777705052
35,36,108.0,13418.0,4.0,289724.71499999997,8,5.0,2004.0,2005,132.0,5.0,2.0,0,0.0,1117.0,1117.0,5,1,1132.0,1320,2452.0,3,1,5.0,4,9,1.0,4,2004.0,3,3.0,691.0,1,113,32,9,2006,309000,2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.25,5739.5,3569.0,28552.0,145.0,0,27925,10,490.4,11.113790280556934
36,37,110.0,10859.0,4.0,197965.77,5,5.0,1994.0,1995,0.0,4.0,0.0,0,0.0,1097.0,1097.0,5,1,1097.0,0,1097.0,1,1,4.0,3,6,0.0,0,1995.0,1,2.0,672.0,1,392,64,6,2009,145000,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.5,1344.0,2194.0,10970.0,456.0,0,17552,10,274.25,10.902187420651002
37,38,74.0,8532.0,4.0,145847.08,5,6.0,1954.0,1990,394.375,3.0,0.0,2,1213.0,84.0,1297.0,4,1,1297.0,0,1297.0,1,0,4.0,3,5,1.0,3,1954.0,3,2.0,498.0,1,0,0,10,2009,153000,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.5,2988.0,2594.0,12970.0,0.0,2426,11673,9,324.25,10.661016992025342
38,39,68.0,7922.0,4.0,145847.08,5,7.0,1953.0,2007,0.0,3.0,0.0,5,731.0,326.0,1057.0,3,1,1057.0,0,1057.0,1,0,4.0,4,5,0.0,0,1953.0,1,1.0,246.0,1,0,52,1,2010,109000,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,246.0,2114.0,10570.0,52.0,3655,9513,8,264.25,10.586836890615963
39,40,65.0,6040.0,4.0,128219.7,4,5.0,1955.0,1955,0.0,1.5,0.0,0,0.0,0.0,73.375,3,0,1152.0,0,1152.0,2,0,3.0,2,6,0.0,0,1955.0,0,0.0,0.0,0,0,0,6,2008,82000,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1152.0,4608.0,0.0,0,0,5,384.0,10.31559720336296
40,41,84.0,8658.0,4.0,145847.08,6,5.0,1965.0,1965,101.0,3.0,0.0,2,643.0,445.0,1088.0,5,1,1324.0,0,1324.0,2,0,4.0,3,6,1.0,3,1965.0,2,2.0,440.0,1,0,138,12,2006,160000,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1760.0,2412.0,14472.0,138.0,1286,9792,10,331.0,10.675676940436027
41,42,110.0,16905.0,4.0,242247.45,5,6.0,1959.0,1959,0.0,3.0,2.5,3,967.0,383.0,1350.0,4,1,1328.0,0,1328.0,1,1,3.0,3,5,2.0,4,1959.0,2,1.0,308.0,1,0,104,7,2007,170000,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,616.0,2678.0,13390.0,104.0,2901,12150,9,442.6666666666667,11.344802627576087
42,43,66.5,9180.0,3.0,186555.8,5,7.0,1983.0,1983,0.0,4.0,2.0,4,747.0,0.0,840.0,4,1,884.0,0,884.0,1,0,3.0,4,5,0.0,0,1983.0,2,2.0,504.0,1,240,0,12,2007,144000,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2016.0,1724.0,8620.0,240.0,3081,13440,9,294.6666666666667,10.916541952842591
43,44,70.0,9200.0,3.0,197965.77,5,6.0,1975.0,1980,0.0,4.0,2.0,1,280.0,167.0,938.0,3,1,938.0,0,938.0,1,0,4.0,3,5,0.0,0,1977.0,1,1.0,308.0,1,145,0,7,2008,130250,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,308.0,1876.0,9380.0,145.0,1753,15008,8,234.5,10.918718232265187
44,45,70.0,7945.0,4.0,145847.08,5,6.0,1959.0,1959,0.0,3.0,0.0,4,179.0,465.0,1150.0,5,1,1150.0,0,1150.0,1,0,4.0,3,6,0.0,0,1959.0,2,1.0,300.0,1,0,0,5,2006,141000,2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,600.0,2300.0,11500.0,0.0,2234,10350,9,287.5,10.589735991404917
45,46,61.0,7658.0,4.0,289724.71499999997,9,5.0,2005.0,2005,394.375,5.0,0.0,5,456.0,1296.0,1752.0,5,1,1752.0,0,1752.0,2,0,3.0,5,6,1.0,4,2005.0,2,2.0,576.0,1,196,82,2,2010,319900,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2304.0,3504.0,31536.0,278.0,2280,36026,10,584.0,10.55294404447134
46,47,48.0,12822.0,3.0,156270.12,7,5.0,2003.0,2003,0.0,5.0,0.0,5,1351.0,83.0,1434.0,5,1,1518.0,631,2149.0,1,1,2.0,4,6,1.0,5,2003.0,2,2.0,670.0,1,168,43,8,2009,239686,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.5,2680.0,3583.0,25081.0,409.0,6755,35850,10,653.5833333333333,11.250677193775257
47,48,84.0,11096.0,4.0,225379.84,8,5.0,2006.0,2006,0.0,4.0,2.0,5,24.0,1632.0,1656.0,5,1,1656.0,0,1656.0,2,0,4.0,4,7,0.0,0,2006.0,2,3.0,826.0,1,0,146,7,2007,249700,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,4956.0,3312.0,26496.0,146.0,120,26496,10,414.0,10.923777874428767
48,49,33.0,4456.0,4.0,128225.3,4,5.0,1920.0,2008,0.0,3.0,0.0,0,0.0,736.0,736.0,4,1,736.0,716,1452.0,2,0,3.0,3,8,0.0,0,2008.0,0,0.0,0.0,0,0,0,6,2009,113000,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2188.0,8752.0,0.0,0,6624,9,484.0,10.01144469404122
49,50,66.0,7742.0,4.0,136793.14,5,7.0,1966.0,1966,0.0,3.0,0.0,3,763.0,192.0,955.0,5,1,955.0,0,955.0,1,0,4.0,3,6,0.0,0,1966.0,1,1.0,386.0,1,0,0,1,2007,127000,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,386.0,1910.0,9550.0,0.0,2289,8595,10,238.75,10.563853243571694
50,51,65.0,13869.0,2.0,192854.51,6,6.0,1997.0,1997,0.0,4.0,2.0,5,182.0,612.0,794.0,4,1,794.0,676,1470.0,2,0,4.0,3,6,0.0,0,1997.0,3,2.0,388.0,1,0,75,7,2007,177000,2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.5,2328.0,2264.0,13584.0,75.0,910,12704,9,367.5,11.483321561711648
51,52,52.0,6240.0,4.0,124834.05,6,6.0,1934.0,1950,0.0,3.0,0.0,0,0.0,816.0,816.0,3,1,816.0,0,1176.0,1,0,4.0,3,6,1.0,4,1985.0,1,2.0,528.0,1,112,0,9,2006,114500,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.25,1056.0,1992.0,11952.0,112.0,0,7344,8,294.0,10.348173373797573
52,53,110.0,8472.0,2.0,100123.78,5,5.0,1963.0,1963,0.0,4.0,2.5,1,104.0,0.0,816.0,3,0,816.0,0,816.0,1,0,3.0,3,5,0.0,0,1963.0,1,2.0,516.0,1,106,0,5,2010,110000,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1032.0,1632.0,8160.0,106.0,3664,13056,7,272.0,10.990432036336555
53,54,68.0,17352.5,3.0,238772.73,9,5.0,1981.0,1987,0.0,5.0,2.5,5,1746.875,32.0,1842.0,4,1,1842.0,0,1842.0,0,1,1.5,4,5,1.0,4,1981.0,3,3.0,894.0,1,420,72,11,2006,385000,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.5,5739.5,3684.0,33156.0,584.125,7750,36026,9,653.5833333333333,11.844600154469802
54,55,60.0,7134.0,4.0,145847.08,5,5.0,1955.0,1955,0.0,3.0,0.0,4,384.0,0.0,384.0,3,1,1360.0,0,1360.0,1,0,4.0,3,6,1.0,3,1962.0,1,2.0,572.0,1,0,50,2,2007,130000,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.25,1144.0,1744.0,8720.0,50.0,1536,3456,8,340.0,10.482065278352938
55,56,100.0,10175.0,3.0,145847.08,6,5.0,1964.0,1964,272.0,3.0,0.0,3,490.0,935.0,1425.0,4,1,1425.0,0,1425.0,2,0,4.0,3,7,1.0,4,1964.0,2,2.0,576.0,1,0,0,7,2008,180500,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2304.0,2850.0,17100.0,407.0,1470,12825,9,356.25,11.01944847953885
56,57,30.0,2645.0,4.0,225379.84,8,5.0,1999.0,2000,394.375,4.0,0.0,5,649.0,321.0,970.0,5,1,983.0,756,1739.0,2,1,4.0,4,7,0.0,0,1999.0,3,2.0,480.0,1,115,0,8,2009,172500,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.25,2880.0,2709.0,21672.0,115.0,3245,15520,10,434.75,9.826108354640688
